*** Installation started 2018/01/16 22:54 ***
Source: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\install_software\psycopg2-2.6.0.win32-py3.4-pg9.4.1-release.exe
999 Root Key: HKEY_CURRENT_USER
020 Reg DB Key: [Software\Microsoft\Windows\CurrentVersion\Uninstall]psycopg2-py3.4
040 Reg DB Value: [Software\Microsoft\Windows\CurrentVersion\Uninstall\psycopg2-py3.4]DisplayName=Python 3.4 psycopg2-2.6
040 Reg DB Value: [Software\Microsoft\Windows\CurrentVersion\Uninstall\psycopg2-py3.4]UninstallString="c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Removepsycopg2.exe" -u "c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\psycopg2-wininst.log"
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2-2.6-py3.4.egg-info
100 Made Dir: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\errorcodes.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\extensions.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\extras.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\pool.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\psycopg1.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tz.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\_json.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\_psycopg.pyd
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\_range.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\__init__.py
100 Made Dir: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\dbapi20.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\dbapi20_tpc.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\testconfig.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\testutils.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_async.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_bugX000.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_bug_gc.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_cancel.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_connection.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_copy.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_cursor.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_dates.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_extras_dictcursor.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_green.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_lobject.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_module.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_notify.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_psycopg2_dbapi20.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_quote.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_transaction.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_types_basic.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_types_extras.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_with.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\__init__.py
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\__init__.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_with.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_types_extras.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_types_basic.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_transaction.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_quote.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_psycopg2_dbapi20.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_notify.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_module.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_lobject.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_green.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_extras_dictcursor.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_dates.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_cursor.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_copy.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_connection.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_cancel.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_bug_gc.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_bugX000.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_async.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\testutils.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\testconfig.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\dbapi20_tpc.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\dbapi20.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\__init__.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\_range.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\_json.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tz.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\psycopg1.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\pool.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\extras.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\extensions.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\errorcodes.pyc
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\__init__.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_with.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_types_extras.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_types_basic.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_transaction.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_quote.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_psycopg2_dbapi20.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_notify.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_module.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_lobject.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_green.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_extras_dictcursor.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_dates.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_cursor.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_copy.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_connection.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_cancel.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_bug_gc.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_bugX000.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\test_async.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\testutils.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\testconfig.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\dbapi20_tpc.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tests\dbapi20.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\__init__.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\_range.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\_json.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\tz.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\psycopg1.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\pool.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\extras.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\extensions.pyo
200 File Copy: c:\EthanPrice_Ellensburg_WA_FBLA_Coding\python34\Lib\site-packages\psycopg2\errorcodes.pyo
